UMAP Params: {'n_neighbors': 15, 'n_components': 2, 'min_dist': 0.0, 'metric': 'cosine'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.023255610838532448
UMAP Params: {'n_neighbors': 25, 'n_components': 5, 'min_dist': 0.1, 'metric': 'euclidean'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.027929432690143585
UMAP Params: {'n_neighbors': 10, 'n_components': 3, 'min_dist': 0.2, 'metric': 'manhattan'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.028520280495285988
UMAP Params: {'n_neighbors': 20, 'n_components': 4, 'min_dist': 0.3, 'metric': 'manhattan'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.019084177911281586
UMAP Params: {'n_neighbors': 30, 'n_components': 2, 'min_dist': 0.4, 'metric': 'manhattan'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.04141489788889885
UMAP Params: {'n_neighbors': 35, 'n_components': 5, 'min_dist': 0.5, 'metric': 'cosine'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.02656487375497818
UMAP Params: {'n_neighbors': 40, 'n_components': 3, 'min_dist': 0.6, 'metric': 'euclidean'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.029714491218328476
UMAP Params: {'n_neighbors': 50, 'n_components': 4, 'min_dist': 0.7, 'metric': 'manhattan'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.029716799035668373
UMAP Params: {'n_neighbors': 60, 'n_components': 2, 'min_dist': 0.8, 'metric': 'euclidean'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.03266535699367523
UMAP Params: {'n_neighbors': 70, 'n_components': 5, 'min_dist': 0.9, 'metric': 'cosine'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: 0.02107122726738453
UMAP Params: {'n_neighbors': 80, 'n_components': 3, 'min_dist': 0.1, 'metric': 'cosine'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.02768196538090706
UMAP Params: {'n_neighbors': 90, 'n_components': 4, 'min_dist': 0.2, 'metric': 'euclidean'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.027164416387677193
UMAP Params: {'n_neighbors': 100, 'n_components': 5, 'min_dist': 0.3, 'metric': 'manhattan'}, HDBSCAN Params: {'min_cluster_size': 50, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}, Score: -0.027884813025593758
UMAP Params: {'n_neighbors': 15, 'n_components': 2, 'min_dist': 0.0, 'metric': 'cosine'}, HDBSCAN Params: {'min_cluster_size': 100, 'metric': 'manhattan', 'cluster_selection_method': 'leaf'}, Score: -0.01919971965253353
